title,value,type
Ментор - пройденное обучение +30,30,PERS
Ментор - завершённый контракт +20,20,PERS
Менти - завершенный контракт +15,15,PERS
Ментор - демонстрация успешного результаты +20,20,PERS
Менти - демонстрация успешного результаты +20,20,PERS
Научная среда - выступление с лекцией о гигиене +10,10,PERS
Научная среда - выступление в качестве спикера +15,15,PERS
Научная среда - пополнение библиотеки +5,5,PERS
Внутренний огонь - участие в активности сообщества (спорт) +7,7,PERS
Внутренний огонь - участие в активности сообщества (волонтёрство) +7,7,PERS
Внутренний огонь - участие в активности сообщества (книжный клуб) +7,7,PERS
Приведи друга - трудоустройство и прохождение испытательного срока +20,20,PERS
Посещение всех встреч сообщества (книжный клуб) на протяжении всей игры (май-ноябрь) +20,20,PERS
Посещение всех встреч сообщества (волонтёрство) на протяжении всей игры (май-ноябрь) +20,20,PERS
Марафон шагов,0,PERS
Свои люди - проведение активности +15,15,CMND
Свои люди - вовлеченность в сетевые активности и проекты (ежемесячно) +30,30,CMND
Отзывы - 1 место в текущем месяце +30,30,CMND
Отзывы - 2 место в текущем месяце +20,20,CMND
Отзывы - 3 место в текущем месяце +10,10,CMND
Номер на летний фестиваль - 1 место +160,160,CMND
Номер на летний фестиваль - 2 место +150,150,CMND
Номер на летний фестиваль - 3 место +140,140,CMND
Номер на летний фестиваль +120,120,CMND
Марафон шагов - 1 место +160,160,CMND
Марафон шагов - 2 место +150,150,CMND
Марафон шагов - 3 место +140,140,CMND
Марафон шагов - 4 место +130,130,CMND
Марафон шагов - 5 место +120,120,CMND
Марафон шагов - 6 место +110,110,CMND
Марафон шагов - 7 место +100,100,CMND
Марафон шагов - 8 место +90,90,CMND
Марафон шагов - 9 место +80,80,CMND
Марафон шагов - 10 место +70,70,CMND
Марафон шагов - 11 место +60,60,CMND
Марафон шагов - 12 место +50,50,CMND
Марафон шагов - 13 место +40,40,CMND
Марафон шагов - 14 место +30,30,CMND
Марафон шагов - 15 место +20,20,CMND
Марафон шагов - 16 место +10,10,CMND
